Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Cost,Profit_Calc,Year,Month
1,CA-2016-152156,2016-11-08,11/11/2016,Second Class,CG-12520,Consumer,United States,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,220.04639999999998,41.9136,2016,11
2,CA-2016-152156,2016-11-08,11/11/2016,Second Class,CG-12520,Consumer,United States,Henderson,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,512.3580000000001,219.582,2016,11
3,CA-2016-138688,2016-06-12,6/16/2016,Second Class,DV-13045,Corporate,United States,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,7.748599999999999,6.8714,2016,6
4,US-2015-108966,2015-10-11,10/18/2015,Standard Class,SO-20335,Consumer,United States,Fort Lauderdale,Florida,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,1340.6085,-383.03100000000006,2015,10
5,US-2015-108966,2015-10-11,10/18/2015,Standard Class,SO-20335,Consumer,United States,Fort Lauderdale,Florida,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,19.851599999999998,2.516400000000001,2015,10
6,CA-2014-115812,2014-06-09,6/14/2014,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,34.6906,14.169399999999996,2014,6
7,CA-2014-115812,2014-06-09,6/14/2014,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656,5.3144,1.9656000000000002,2014,6
8,CA-2014-115812,2014-06-09,6/14/2014,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,816.4368000000001,90.71519999999998,2014,6
9,CA-2014-115812,2014-06-09,6/14/2014,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,12.721500000000002,5.782499999999999,2014,6
10,CA-2014-115812,2014-06-09,6/14/2014,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,80.43,34.47,2014,6
11,CA-2014-115812,2014-06-09,6/14/2014,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,1620.8748,85.30919999999992,2014,6
12,CA-2014-115812,2014-06-09,6/14/2014,Standard Class,BH-11710,Consumer,United States,Los Angeles,California,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,843.0672,68.35680000000002,2014,6
13,CA-2017-114412,2017-04-15,4/20/2017,Standard Class,AA-10480,Consumer,United States,Concord,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,10.108799999999999,5.443200000000001,2017,4
14,CA-2016-161389,2016-12-05,12/10/2016,Standard Class,IM-15070,Consumer,United States,Seattle,Washington,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,275.3838,132.5922,2016,12
15,US-2015-118983,2015-11-22,11/26/2015,Standard Class,HP-14815,Home Office,United States,Fort Worth,Texas,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,192.668,-123.858,2015,11
16,US-2015-118983,2015-11-22,11/26/2015,Standard Class,HP-14815,Home Office,United States,Fort Worth,Texas,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,6.359999999999999,-3.8159999999999994,2015,11
17,CA-2014-105893,2014-11-11,11/18/2014,Standard Class,PK-19075,Consumer,United States,Madison,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,652.5624,13.31759999999997,2014,11
18,CA-2014-167164,2014-05-13,5/15/2014,Second Class,AG-10270,Consumer,United States,West Jordan,Utah,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,45.51,9.990000000000002,2014,5
19,CA-2014-143336,2014-08-27,9/1/2014,Second Class,ZD-21925,Consumer,United States,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824,6.0776,2.4824,2014,8
20,CA-2014-143336,2014-08-27,9/1/2014,Second Class,ZD-21925,Consumer,United States,San Francisco,California,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,197.469,16.010999999999996,2014,8
21,CA-2014-143336,2014-08-27,9/1/2014,Second Class,ZD-21925,Consumer,United States,San Francisco,California,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,15.335999999999999,7.384,2014,8
