row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
1,CA-2016-300001,2017-10-22,2017-10-23,Standard Class,CG-20001,Customer_1,Home Office,United States,Seattle,Washington,98101,West,PROD-300001,Technology,Machines,Machines Product 1,1336.59,8,0.05,167.0737
2,CA-2016-300002,2017-08-09,2017-08-16,Standard Class,CG-20002,Customer_2,Home Office,United States,Seattle,Washington,98101,West,PROD-300002,Furniture,Bookcases,Bookcases Product 2,2485.97,4,0.05,310.7462
3,CA-2016-300003,2014-04-19,2014-04-25,Same Day,CG-20003,Customer_3,Consumer,United States,Seattle,Washington,98101,West,PROD-300003,Office Supplies,Storage,Storage Product 3,2201.86,4,0.25,55.0465
4,CA-2016-300004,2015-07-07,2015-07-08,Standard Class,CG-20004,Customer_4,Consumer,United States,Houston,Texas,77001,South,PROD-300004,Technology,Machines,Machines Product 4,524.99,14,0.25,13.1247
5,CA-2016-300005,2014-06-27,2014-07-02,Same Day,CG-20005,Customer_5,Consumer,United States,Henderson,Kentucky,42420,South,PROD-300005,Office Supplies,Paper,Paper Product 5,328.62,11,0.15,24.6465
6,CA-2016-300006,2014-04-23,2014-04-25,Standard Class,CG-20006,Customer_6,Consumer,United States,Los Angeles,California,90001,West,PROD-300006,Technology,Machines,Machines Product 6,581.57,13,0.1,58.157
7,CA-2016-300007,2014-12-03,2014-12-07,Second Class,CG-20007,Customer_7,Consumer,United States,Seattle,Washington,98101,West,PROD-300007,Furniture,Tables,Tables Product 7,2284.55,9,0.05,285.5688
8,CA-2016-300008,2014-07-29,2014-08-05,Second Class,CG-20008,Customer_8,Corporate,United States,Los Angeles,California,90001,West,PROD-300008,Furniture,Chairs,Chairs Product 8,1297.36,5,0.05,162.17
9,CA-2016-300009,2017-04-24,2017-04-27,First Class,CG-20009,Customer_9,Corporate,United States,Seattle,Washington,98101,West,PROD-300009,Office Supplies,Binders,Binders Product 9,2486.25,1,0.15,186.4688
10,CA-2016-300010,2017-03-09,2017-03-10,Same Day,CG-20010,Customer_10,Consumer,United States,Seattle,Washington,98101,West,PROD-300010,Technology,Phones,Phones Product 10,698.47,9,0.1,69.847
11,CA-2016-300011,2017-06-20,2017-06-27,First Class,CG-20011,Customer_11,Corporate,United States,Chicago,Illinois,60601,Central,PROD-300011,Furniture,Chairs,Chairs Product 11,1150.09,13,0.0,172.5135
12,CA-2016-300012,2014-06-10,2014-06-17,Same Day,CG-20012,Customer_12,Consumer,United States,Seattle,Washington,98101,West,PROD-300012,Furniture,Bookcases,Bookcases Product 12,1227.61,3,0.15,92.0707
13,CA-2016-300013,2016-07-15,2016-07-20,Same Day,CG-20013,Customer_13,Consumer,United States,Los Angeles,California,90001,West,PROD-300013,Technology,Accessories,Accessories Product 13,1539.96,2,0.1,153.996
14,CA-2016-300014,2014-10-15,2014-10-22,Standard Class,CG-20014,Customer_14,Consumer,United States,Chicago,Illinois,60601,Central,PROD-300014,Technology,Accessories,Accessories Product 14,2418.89,10,0.05,302.3612
15,CA-2016-300015,2017-02-26,2017-03-02,Second Class,CG-20015,Customer_15,Corporate,United States,Henderson,Kentucky,42420,South,PROD-300015,Furniture,Tables,Tables Product 15,1039.15,9,0.1,103.915
16,CA-2016-300016,2014-04-13,2014-04-20,Standard Class,CG-20016,Customer_16,Home Office,United States,Houston,Texas,77001,South,PROD-300016,Office Supplies,Paper,Paper Product 16,888.13,1,0.2,44.4065
17,CA-2016-300017,2016-10-06,2016-10-07,First Class,CG-20017,Customer_17,Corporate,United States,Miami,Florida,33101,South,PROD-300017,Office Supplies,Paper,Paper Product 17,679.28,10,0.25,16.982
18,CA-2016-300018,2016-04-24,2016-04-25,Standard Class,CG-20018,Customer_18,Consumer,United States,Seattle,Washington,98101,West,PROD-300018,Office Supplies,Storage,Storage Product 18,668.26,13,0.25,16.7065
19,CA-2016-300019,2014-04-11,2014-04-17,Same Day,CG-20019,Customer_19,Corporate,United States,Houston,Texas,77001,South,PROD-300019,Technology,Machines,Machines Product 19,73.43,13,0.25,1.8357
20,CA-2016-300020,2016-11-10,2016-11-16,Standard Class,CG-20020,Customer_20,Consumer,United States,Chicago,Illinois,60601,Central,PROD-300020,Technology,Accessories,Accessories Product 20,427.42,12,0.2,21.371
21,CA-2016-300021,2017-05-30,2017-05-31,Second Class,CG-20021,Customer_21,Consumer,United States,Henderson,Kentucky,42420,South,PROD-300021,Office Supplies,Labels,Labels Product 21,805.09,7,0.2,40.2545
22,CA-2016-300022,2015-07-20,2015-07-24,Same Day,CG-20022,Customer_22,Consumer,United States,Henderson,Kentucky,42420,South,PROD-300022,Technology,Phones,Phones Product 22,845.89,11,0.1,84.589
23,CA-2016-300023,2014-04-23,2014-04-30,Standard Class,CG-20023,Customer_23,Corporate,United States,Chicago,Illinois,60601,Central,PROD-300023,Technology,Accessories,Accessories Product 23,401.14,15,0.15,30.0855
24,CA-2016-300024,2017-06-22,2017-06-23,Standard Class,CG-20024,Customer_24,Consumer,United States,Los Angeles,California,90001,West,PROD-300024,Technology,Phones,Phones Product 24,1861.54,11,0.15,139.6155
25,CA-2016-300025,2015-03-01,2015-03-07,Same Day,CG-20025,Customer_25,Consumer,United States,Seattle,Washington,98101,West,PROD-300025,Furniture,Bookcases,Bookcases Product 25,1873.44,1,0.1,187.344
26,CA-2016-300026,2016-03-17,2016-03-19,First Class,CG-20026,Customer_26,Home Office,United States,Los Angeles,California,90001,West,PROD-300026,Furniture,Chairs,Chairs Product 26,1285.19,11,0.0,192.7785
27,CA-2016-300027,2016-12-31,2017-01-04,Second Class,CG-20027,Customer_27,Consumer,United States,New York,New York,10001,East,PROD-300027,Technology,Accessories,Accessories Product 27,1937.4,8,0.0,290.61
28,CA-2016-300028,2015-06-10,2015-06-14,Same Day,CG-20028,Customer_28,Consumer,United States,Henderson,Kentucky,42420,South,PROD-300028,Office Supplies,Storage,Storage Product 28,1206.37,3,0.25,30.1592
29,CA-2016-300029,2014-01-15,2014-01-16,First Class,CG-20029,Customer_29,Corporate,United States,New York,New York,10001,East,PROD-300029,Office Supplies,Binders,Binders Product 29,1302.2,3,0.15,97.665
30,CA-2016-300030,2016-11-28,2016-12-03,Standard Class,CG-20030,Customer_30,Corporate,United States,Seattle,Washington,98101,West,PROD-300030,Technology,Phones,Phones Product 30,766.31,7,0.0,114.9465
31,CA-2016-300031,2014-08-06,2014-08-11,Same Day,CG-20031,Customer_31,Corporate,United States,New York,New York,10001,East,PROD-300031,Office Supplies,Paper,Paper Product 31,1189.38,4,0.25,29.7345
32,CA-2016-300032,2014-05-29,2014-05-31,Second Class,CG-20032,Customer_32,Corporate,United States,Miami,Florida,33101,South,PROD-300032,Technology,Machines,Machines Product 32,620.6,3,0.2,31.03
33,CA-2016-300033,2017-06-23,2017-06-25,First Class,CG-20033,Customer_33,Consumer,United States,Chicago,Illinois,60601,Central,PROD-300033,Furniture,Tables,Tables Product 33,548.15,7,0.05,68.5187
34,CA-2016-300034,2015-05-14,2015-05-20,Standard Class,CG-20034,Customer_34,Corporate,United States,Los Angeles,California,90001,West,PROD-300034,Furniture,Tables,Tables Product 34,2070.24,4,0.0,310.536
35,CA-2016-300035,2016-06-17,2016-06-23,First Class,CG-20035,Customer_35,Home Office,United States,Miami,Florida,33101,South,PROD-300035,Technology,Machines,Machines Product 35,2058.81,10,0.1,205.881
36,CA-2016-300036,2015-07-08,2015-07-14,First Class,CG-20036,Customer_36,Corporate,United States,New York,New York,10001,East,PROD-300036,Office Supplies,Paper,Paper Product 36,780.89,6,0.25,19.5222
37,CA-2016-300037,2014-11-12,2014-11-15,Second Class,CG-20037,Customer_37,Home Office,United States,Miami,Florida,33101,South,PROD-300037,Technology,Accessories,Accessories Product 37,1395.89,6,0.15,104.6917
38,CA-2016-300038,2015-05-06,2015-05-09,First Class,CG-20038,Customer_38,Home Office,United States,Los Angeles,California,90001,West,PROD-300038,Office Supplies,Labels,Labels Product 38,2080.57,14,0.25,52.0142
39,CA-2016-300039,2017-05-24,2017-05-29,First Class,CG-20039,Customer_39,Corporate,United States,Los Angeles,California,90001,West,PROD-300039,Office Supplies,Storage,Storage Product 39,1190.12,13,0.05,148.765
40,CA-2016-300040,2015-06-09,2015-06-15,First Class,CG-20040,Customer_40,Consumer,United States,Henderson,Kentucky,42420,South,PROD-300040,Office Supplies,Labels,Labels Product 40,2187.03,6,0.05,273.3788
41,CA-2016-300041,2017-02-11,2017-02-14,First Class,CG-20041,Customer_41,Home Office,United States,New York,New York,10001,East,PROD-300041,Furniture,Tables,Tables Product 41,1341.53,15,0.05,167.6912
42,CA-2016-300042,2014-03-17,2014-03-23,Second Class,CG-20042,Customer_42,Home Office,United States,Henderson,Kentucky,42420,South,PROD-300042,Furniture,Chairs,Chairs Product 42,1671.6,9,0.05,208.95
43,CA-2016-300043,2014-12-01,2014-12-07,First Class,CG-20043,Customer_43,Corporate,United States,Chicago,Illinois,60601,Central,PROD-300043,Office Supplies,Labels,Labels Product 43,603.75,15,0.1,60.375
44,CA-2016-300044,2016-12-11,2016-12-12,Second Class,CG-20044,Customer_44,Corporate,United States,Chicago,Illinois,60601,Central,PROD-300044,Office Supplies,Paper,Paper Product 44,1187.27,1,0.05,148.4087
45,CA-2016-300045,2016-07-25,2016-07-27,Same Day,CG-20045,Customer_45,Corporate,United States,Seattle,Washington,98101,West,PROD-300045,Office Supplies,Binders,Binders Product 45,2098.15,2,0.25,52.4537
46,CA-2016-300046,2014-08-20,2014-08-24,Standard Class,CG-20046,Customer_46,Corporate,United States,Los Angeles,California,90001,West,PROD-300046,Office Supplies,Paper,Paper Product 46,410.55,7,0.2,20.5275
47,CA-2016-300047,2015-04-21,2015-04-23,Standard Class,CG-20047,Customer_47,Home Office,United States,Miami,Florida,33101,South,PROD-300047,Technology,Phones,Phones Product 47,321.22,1,0.25,8.0305
